{{s10video1}},{{hookline}},{{s10alt1}},{{videoscreenshot}},{{s10caption1}}
https://cdn.suvichaar.org/media/videos/portrait_854286-hd_1920_1080_30fps.mp4,Suvichaar shows us that change leads to beauty. 🦋,A beautiful butterfly fluttering gracefully.,https://media.suvichaar.org/eyJidWNrZXQiOiJzdXZpY2hhYXJhcHAiLCJrZXkiOiJtZWRpYS9pbWFnZXMvYmcvTmV3IEZvbGRlci8xLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NzIwLCJoZWlnaHQiOjEyODAsImZpdCI6ImNvdmVyIn19fQ==,Your daily dose of inspiration
https://cdn.suvichaar.org/media/videos/portrait_856857-uhd_4096_2160_30fps.mp4,The universe speaks—Suvichaar helps us listen. 🌌,A mesmerizing view of Earth and the galaxy in space.,https://media.suvichaar.org/eyJidWNrZXQiOiJzdXZpY2hhYXJhcHAiLCJrZXkiOiJtZWRpYS9pbWFnZXMvYmcvTmV3IEZvbGRlci8yLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NzIwLCJoZWlnaHQiOjEyODAsImZpdCI6ImNvdmVyIn19fQ==,Your daily dose of inspiration
https://cdn.suvichaar.org/media/videos/portrait_857195-hd_1280_720_25fps.mp4,Keep climbing—Suvichaar guides the way. 🏔️,A breathtaking snow-covered mountain landscape.,https://media.suvichaar.org/eyJidWNrZXQiOiJzdXZpY2hhYXJhcHAiLCJrZXkiOiJtZWRpYS9pbWFnZXMvYmcvTmV3IEZvbGRlci8zLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NzIwLCJoZWlnaHQiOjEyODAsImZpdCI6ImNvdmVyIn19fQ==,Your daily dose of inspiration
https://cdn.suvichaar.org/media/videos/portrait_3064204-hd_1920_1080_24fps.mp4,"Even in darkness, Suvichaar is the light. 🔦",A lone man walking through a dark cave.,https://media.suvichaar.org/eyJidWNrZXQiOiJzdXZpY2hhYXJhcHAiLCJrZXkiOiJtZWRpYS9pbWFnZXMvYmcvTmV3IEZvbGRlci80LnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NzIwLCJoZWlnaHQiOjEyODAsImZpdCI6ImNvdmVyIn19fQ==,Your daily dose of inspiration
https://cdn.suvichaar.org/media/videos/portrait_856006-hd_1920_1080_25fps.mp4,Growth takes time—Suvichaar nurtures it. 🌺,A red flower blooming in slow motion.,https://media.suvichaar.org/eyJidWNrZXQiOiJzdXZpY2hhYXJhcHAiLCJrZXkiOiJtZWRpYS9pbWFnZXMvYmcvTmV3IEZvbGRlci81LnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NzIwLCJoZWlnaHQiOjEyODAsImZpdCI6ImNvdmVyIn19fQ==,Your daily dose of inspiration
https://cdn.suvichaar.org/media/videos/portrait_3110550-hd_1280_720_30fps.mp4,Suvichaar glows like a diya in the dark. 🪔,Traditional diyas (lamps) glowing in the dark.,https://media.suvichaar.org/eyJidWNrZXQiOiJzdXZpY2hhYXJhcHAiLCJrZXkiOiJtZWRpYS9pbWFnZXMvYmcvTmV3IEZvbGRlci82LnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NzIwLCJoZWlnaHQiOjEyODAsImZpdCI6ImNvdmVyIn19fQ==,Your daily dose of inspiration
https://cdn.suvichaar.org/media/videos/portrait_3129902-uhd_3840_2160_25fps.mp4,Suvichaar sparks the ideas that shape the future. 🌍,A futuristic 3D visualization of Earth with tech elements.,https://media.suvichaar.org/eyJidWNrZXQiOiJzdXZpY2hhYXJhcHAiLCJrZXkiOiJtZWRpYS9pbWFnZXMvYmcvTmV3IEZvbGRlci83LnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NzIwLCJoZWlnaHQiOjEyODAsImZpdCI6ImNvdmVyIn19fQ==,Your daily dose of inspiration
https://cdn.suvichaar.org/media/videos/portrait_7875576-hd_1920_1080_25fps.mp4,Life flows—Suvichaar helps us glide. ❄️,A snowboarder gliding smoothly over fresh snow.,https://media.suvichaar.org/eyJidWNrZXQiOiJzdXZpY2hhYXJhcHAiLCJrZXkiOiJtZWRpYS9pbWFnZXMvYmcvTmV3IEZvbGRlci84LnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NzIwLCJoZWlnaHQiOjEyODAsImZpdCI6ImNvdmVyIn19fQ==,Your daily dose of inspiration
https://cdn.suvichaar.org/media/videos/portrait_11978357-hd_1280_720_24fps.mp4,Wisdom is vast—Suvichaar helps explore it. 🌏,A 3D animated view of planet Earth.,https://media.suvichaar.org/eyJidWNrZXQiOiJzdXZpY2hhYXJhcHAiLCJrZXkiOiJtZWRpYS9pbWFnZXMvYmcvTmV3IEZvbGRlci85LnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NzIwLCJoZWlnaHQiOjEyODAsImZpdCI6ImNvdmVyIn19fQ==,Your daily dose of inspiration
https://cdn.suvichaar.org/media/videos/portrait_Mountain%203.mp4,Every sunset is a lesson—Suvichaar captures it. 🌅,A scenic sunset over nature’s beauty.,https://media.suvichaar.org/eyJidWNrZXQiOiJzdXZpY2hhYXJhcHAiLCJrZXkiOiJtZWRpYS9pbWFnZXMvYmcvTmV3IEZvbGRlci8xMC5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjcyMCwiaGVpZ2h0IjoxMjgwLCJmaXQiOiJjb3ZlciJ9fX0=,Your daily dose of inspiration
